"Timestamp","Full Name ","College Email ","Personal Email id ","Current Year of study","Course","Branch","Passout Year ","HSM (Humanities & Management) subjects you have taken (if any)  ","PEC (Program Elective) subjects you have taken (if any)","MDM (Multidisciplinary Minor) courses you have taken (if any)","CC / LLC (Co-curricular) courses you have taken (if any)","Skills (Select upto 8)","Interests (Select top 3)","No of Projects Built","Project Details (Eg. Project 1. ToDo List App- React, Node.js, JS)","Anything you want to share ? (Carrer goals, Achievements)",""
"2026/04/19 04:59:12 PM GMT+5:30","Yash Rane","yash.rane24755@spit.ac.in","yashrane1689@gmail.com","2nd year","B.Tech","Computer Engineering","2028","NA","-","UI/UX","Abhyudaya Mentoring","JavaScript;Cybersecurity;C;Java;MongoDB;React;IOT","Data Science;UI/UX design;Web Development","1-3","Project 1: Hostel issue tracker - React, Node.js, MongoDB","Working on communication and leadership along with tech skills.","Web Development"
"2026/04/19 09:19:55 AM GMT+5:30","Mihika Jadhav","mihika.jadhav23566@spit.ac.in","mihikajadhav4813@yahoo.com","3rd year","B.Tech","Computer Engineering","2027","Sociology","NLP / DL","IOT","Theatre","JavaScript;SQL;App / Web development;React;Java;DevOps","Data Science;CyberSecurity;UI/UX design;DevOps","8-15","Project 1: Campus navigation app - Django, PostgreSQL | Project 2: Community event app - Spring Boot, MySQL | Project 3: Threat detection prototype - Next.js, Express | Project 4: Exam prep planner - Spring Boot, MySQL | Project 5: Student engagement dashboard - React Native, Firebase | Project 6: Canteen preorder system - Next.js, Express","Looking for mentorship in career direction and project depth.","Project planning"
"2026/04/19 03:24:22 AM GMT+5:30","Pranav Mathpati","pranav.mathpati23275@spit.ac.in","pranavmathpati1094@outlook.com","3rd year","B.Tech","Computer Engineering","2027","-","Cyber Security","NA","-","Machine Learning;JavaScript;DevOps;Deep learning;MongoDB;App / Web development;React","AI/ML;Competitive Programming;Web Development","1-3","Project 1: Campus navigation app - Spring Boot, MySQL","Want to contribute to open-source and improve DSA consistency.","Interview prep"
"2026/04/18 09:48:28 AM GMT+5:30","Sana Iyer","sana.iyer25882@spit.ac.in","sanaiyer198@gmail.com","1st year","B.Tech","Computer Engineering","2029","Ethics","N/A","Banking Technology","Sports","Java;Machine Learning;C++;App / Web development;JavaScript;Cybersecurity;Python;DevOps;IOT","Blockchain;Web Development;CyberSecurity","1-3","Project 1: Student engagement dashboard - React, Node.js, MongoDB | Project 2: Campus navigation app - Python, Flask, SQLite","Planning to explore cybersecurity competitions this year.","Machine Learning"
"2026/04/21 09:19:57 AM GMT+5:30","Aditya Iyer","aditya.iyer23785@spit.ac.in","adityaiyer2070@outlook.com","3rd year","B.Tech","Computer Engineering","2027","Economics","-","Entrepreneurship","Theatre","App / Web development;IOT;React;SQL;Machine Learning;Cybersecurity","Data Science;Blockchain;Web Development","3-8","Project 1: Smart attendance tracker - Django, PostgreSQL | Project 2: Threat detection prototype - Spring Boot, MySQL | Project 3: Resume screening assistant - Spring Boot, MySQL","-","NA"
"2026/04/11 06:33:22 AM GMT+5:30","Rohit Kulkarni","rohit.kulkarni23553@spit.ac.in","rohitkulkarni2177@proton.me","3rd year","B.Tech","Computer Engineering","2027","Economics","-","Entrepreneurship","Abhyudaya Mentoring","C;App / Web development;Cybersecurity;DevOps;C++;IOT;MongoDB;React","App development;Data Science;Blockchain;DevOps","1-3","Project 1: Doubt solving forum - React Native, Firebase | Project 2: Doubt solving forum - Python, Flask, SQLite","Trying to balance academics, projects, and hackathons better.","System design"
"2026/04/09 09:52:59 AM GMT+5:30","Tanish Shah","tanish.shah23993@spit.ac.in","tanishshah1538@outlook.com","3rd year","B.Tech","Computer Engineering","2027","Economics","Artificial Intelligence","NA","Abhyudaya Mentoring","Cybersecurity;SQL;JavaScript;MongoDB;Machine Learning;IOT;Java;C++;Deep learning","Web Development;Blockchain;UI/UX design","1-3","Project 1: Smart attendance tracker - React, Node.js, MongoDB | Project 2: Resume screening assistant - React Native, Firebase","Looking for mentorship in career direction and project depth.","-"
"2026/04/19 10:14:41 AM GMT+5:30","Yash Mathpati","yash.mathpati25123@spit.ac.in","yashmathpati9343@outlook.com","1st year","B.Tech","Computer Engineering","2029","NA","Cyber Security","Financial Literacy","Sports","React;Python;JavaScript;MongoDB;Java;DevOps;SQL;Deep learning","Web Development;Competitive Programming;CyberSecurity","1-3","Project 1: Campus navigation app - Django, PostgreSQL","Focused on building impactful AI projects and research exposure.","DSA"
"2026/04/20 05:19:41 AM GMT+5:30","Riya Mehta","riya.mehta23854@spit.ac.in","riyamehta8910@yahoo.com","3rd year","B.Tech","Computer Science and Engineering","2027","NA","Software Testing","IOT","AOL","JavaScript;C++;Cybersecurity;Machine Learning","CyberSecurity;Blockchain;Competitive Programming","3-8","Project 1: Library recommender - Python, Flask, SQLite | Project 2: Exam prep planner - Next.js, Express","Planning to explore cybersecurity competitions this year.","Web Development"
"2026/04/20 08:08:43 PM GMT+5:30","Sana Patil","sana.patil23004@spit.ac.in","sanapatil5474@outlook.com","3rd year","B.Tech","Computer Engineering","2027","N/A","Data Analytics","NA","Design Thinking","React;Deep learning;Machine Learning;Java;MongoDB;App / Web development;C;DevOps;Cybersecurity","UI/UX design;Data Science;Blockchain","3-8","Project 1: Community event app - React, Node.js, MongoDB | Project 2: Portfolio website - Django, PostgreSQL","Preparing for product-based company placements.","DSA"
"2026/04/15 08:50:25 AM GMT+5:30","Riya Deshpande","riya.deshpande25026@spit.ac.in","riyadeshpande2948@yahoo.com","1st year","B.Tech","Computer Engineering","2029","NA","NA","NA","NA","SQL;React;JavaScript;Python;App / Web development;C;Deep learning;IOT;Java","App development;CyberSecurity;AI/ML;UI/UX design","3-8","Project 1: Hostel issue tracker - Next.js, Express | Project 2: Threat detection prototype - Python, Flask, SQLite | Project 3: Smart attendance tracker - React, Node.js, MongoDB | Project 4: Canteen preorder system - Spring Boot, MySQL","Interested in full-stack development and scalable systems.","-"
"2026/04/11 01:23:11 PM GMT+5:30","Suraj Kadam","suraj.kadam25119@spit.ac.in","surajkadam6321@outlook.com","1st year","B.Tech","Computer Science and Engineering","2029","Psychology","NLP / DL","Financial Literacy","Theatre","App / Web development;React;Deep learning","App development;CyberSecurity;Competitive Programming;AI/ML","1-3","Project 1: Portfolio website - React Native, Firebase | Project 2: Library recommender - Python, Flask, SQLite","N/A","Interview prep"
"2026/04/15 07:25:40 PM GMT+5:30","Tanish Shah","tanish.shah23312@spit.ac.in","tanishshah4710@outlook.com","3rd year","B.Tech","Computer Engineering","2027","Professional Communication","Cloud Computing","Entrepreneurship","NA","DevOps;Java;App / Web development;C++;JavaScript;Machine Learning;React;C;IOT","CyberSecurity;Data Science;DevOps;App development;UI/UX design","3-8","Project 1: Smart attendance tracker - Spring Boot, MySQL | Project 2: Student engagement dashboard - Django, PostgreSQL","Interested in internships where I can work on real products.","Machine Learning"
"2026/04/09 03:27:41 PM GMT+5:30","Aarav Nair","aarav.nair25798@spit.ac.in","aaravnair6975@outlook.com","1st year","B.Tech","Computer Engineering","2029","NA","NLP / DL","UI/UX","NA","Deep learning;React;SQL;IOT;Machine Learning;MongoDB;DevOps","Competitive Programming;Blockchain;AI/ML","1-3","Project 1: Community event app - Python, Flask, SQLite","Looking for mentorship in career direction and project depth.","Machine Learning"
"2026/04/10 11:43:10 PM GMT+5:30","Pranav Iyer","pranav.iyer25083@spit.ac.in","pranaviyer2277@outlook.com","1st year","B.Tech","Computer Engineering","2029","Economics","N/A","N/A","N/A","Cybersecurity;Deep learning;DevOps;C;IOT;MongoDB","Web Development;UI/UX design;AI/ML;Data Science","1-3","Project 1: Threat detection prototype - Next.js, Express | Project 2: Library recommender - Django, PostgreSQL","Interested in full-stack development and scalable systems.","N/A"
"2026/04/20 11:29:27 AM GMT+5:30","Mihika Joshi","mihika.joshi25861@spit.ac.in","mihikajoshi7667@outlook.com","1st year","B.Tech","Computer Engineering","2029","N/A","Data Analytics","N/A","Design Thinking","C;JavaScript;MongoDB;React","Competitive Programming;UI/UX design;AI/ML","1-3","Project 1: Canteen preorder system - React Native, Firebase | Project 2: Canteen preorder system - React, Node.js, MongoDB","-","Data analytics"
"2026/04/05 08:52:19 PM GMT+5:30","Vivaan Shah","vivaan.shah25973@spit.ac.in","vivaanshah4061@outlook.com","1st year","B.Tech","Computer Science and Engineering","2029","NA","Cyber Security","Financial Literacy","NA","React;Java;Deep learning;DevOps;C++;Cybersecurity;JavaScript;C;SQL","CyberSecurity;DevOps;Data Science","3-8","Project 1: Exam prep planner - React, Node.js, MongoDB | Project 2: Resume screening assistant - Next.js, Express | Project 3: Community event app - Spring Boot, MySQL | Project 4: Campus navigation app - Next.js, Express","Planning to explore cybersecurity competitions this year.","System design"
"2026/04/15 01:42:07 PM GMT+5:30","Vedant Jadhav","vedant.jadhav24519@spit.ac.in","vedantjadhav5600@gmail.com","2nd year","B.Tech","Computer Engineering","2028","N/A","Software Testing","Entrepreneurship","-","JavaScript;Deep learning;Machine Learning;SQL;App / Web development;MongoDB;IOT;Java","App development;CyberSecurity;Data Science","1-3","Project 1: Student engagement dashboard - Django, PostgreSQL","Interested in full-stack development and scalable systems.","N/A"
"2026/04/18 08:46:18 PM GMT+5:30","Pranav Kale","pranav.kale25902@spit.ac.in","pranavkale9777@yahoo.com","1st year","B.Tech","Computer Engineering","2029","Psychology","-","Entrepreneurship","Theatre","DevOps;SQL;Cybersecurity;C;C++;JavaScript;Python;IOT","Data Science;CyberSecurity;UI/UX design;Competitive Programming;AI/ML","3-8","Project 1: Threat detection prototype - Django, PostgreSQL | Project 2: Portfolio website - React Native, Firebase | Project 3: Library recommender - Django, PostgreSQL","Working on communication and leadership along with tech skills.","Career guidance"
"2026/04/10 03:03:11 PM GMT+5:30","Ananya Iyer","ananya.iyer25974@spit.ac.in","ananyaiyer3043@outlook.com","1st year","B.Tech","Computer Engineering","2029","NA","Software Testing","Financial Literacy","AOL","Python;React;Java;JavaScript;C","Blockchain;AI/ML;Competitive Programming;Web Development;UI/UX design","1-3","Project 1: Library recommender - Spring Boot, MySQL | Project 2: Community event app - React Native, Firebase","Interested in internships where I can work on real products.","Web Development"
"2026/04/17 07:27:47 AM GMT+5:30","Rohit Nair","rohit.nair25842@spit.ac.in","rohitnair1080@proton.me","1st year","B.Tech","Computer Engineering","2029","Psychology","NA","Financial Literacy","AOL","Machine Learning;Cybersecurity;MongoDB","Data Science;DevOps;Blockchain;Competitive Programming;AI/ML","1-3","Project 1: Canteen preorder system - Django, PostgreSQL | Project 2: Resume screening assistant - React, Node.js, MongoDB","Interested in full-stack development and scalable systems.","System design"
"2026/04/09 04:11:12 AM GMT+5:30","Riya Anand","riya.anand25178@spit.ac.in","riyaanand9053@gmail.com","1st year","B.Tech","Computer Engineering","2029","Psychology","Software Testing","N/A","Sports","C++;App / Web development;Python;JavaScript;Deep learning;DevOps","App development;Data Science;UI/UX design;Blockchain","1-3","Project 1: Doubt solving forum - React, Node.js, MongoDB | Project 2: Smart attendance tracker - Spring Boot, MySQL","Planning to explore cybersecurity competitions this year.","Web Development"
"2026/04/07 07:51:38 AM GMT+5:30","Sana Kadam","sana.kadam25553@spit.ac.in","sanakadam8100@proton.me","1st year","B.Tech","Computer Engineering","2029","N/A","Software Testing","NA","Yoga","IOT;JavaScript;Deep learning;C;Java;SQL;Machine Learning;DevOps","DevOps;Competitive Programming;Web Development","1-3","Project 1: Portfolio website - React Native, Firebase | Project 2: Portfolio website - Python, Flask, SQLite","Interested in internships where I can work on real products.","Project planning"
"2026/04/11 12:01:58 PM GMT+5:30","Tanish Patil","tanish.patil25466@spit.ac.in","tanishpatil1452@yahoo.com","1st year","B.Tech","Computer Science and Engineering","2029","N/A","NA","UI/UX","NA","Machine Learning;React;Deep learning;SQL","Competitive Programming;Web Development;App development;AI/ML;CyberSecurity","1-3","Project 1: Canteen preorder system - React Native, Firebase","-","Machine Learning"
"2026/04/17 11:19:29 AM GMT+5:30","Yash Nair","yash.nair25473@spit.ac.in","yashnair1934@outlook.com","1st year","B.Tech","Computer Engineering","2029","-","Cloud Computing","Entrepreneurship","Theatre","MongoDB;Python;Deep learning;Machine Learning","AI/ML;App development;Blockchain;Data Science;DevOps","1-3","Project 1: Smart attendance tracker - Python, Flask, SQLite | Project 2: Library recommender - Python, Flask, SQLite","Interested in full-stack development and scalable systems.","Career guidance"
"2026/04/11 04:06:51 AM GMT+5:30","Tanish Mathpati","tanish.mathpati25467@spit.ac.in","tanishmathpati5282@outlook.com","1st year","B.Tech","Computer Engineering","2029","Professional Communication","NA","N/A","Abhyudaya Mentoring","Cybersecurity;App / Web development;Java;SQL;C;DevOps;React;MongoDB","Competitive Programming;App development;CyberSecurity","1-3","Project 1: Smart attendance tracker - Next.js, Express | Project 2: Doubt solving forum - React Native, Firebase","N/A","Project planning"
"2026/04/18 12:09:52 PM GMT+5:30","Tanish Mathpati","tanish.mathpati25978@spit.ac.in","tanishmathpati5198@proton.me","1st year","B.Tech","Computer Engineering","2029","Psychology","Artificial Intelligence","IOT","AOL","Cybersecurity;App / Web development;DevOps","Competitive Programming;AI/ML;UI/UX design","1-3","Project 1: Smart attendance tracker - React, Node.js, MongoDB | Project 2: Portfolio website - React, Node.js, MongoDB","Planning to explore cybersecurity competitions this year.","-"
"2026/04/17 10:54:43 AM GMT+5:30","Riya Jadhav","riya.jadhav25625@spit.ac.in","riyajadhav6277@outlook.com","1st year","B.Tech","Computer Science and Engineering","2029","N/A","N/A","N/A","Sports","C++;SQL;React;Deep learning","DevOps;CyberSecurity;Data Science;AI/ML","1-3","Project 1: Hostel issue tracker - React Native, Firebase","Interested in internships where I can work on real products.","Project planning"
"2026/04/20 02:15:26 AM GMT+5:30","Mihika Kale","mihika.kale22009@spit.ac.in","mihikakale9282@gmail.com","4th year","B.Tech","Computer Engineering","2026","NA","Cloud Computing","Banking Technology","Fire safety","Deep learning;JavaScript;App / Web development;DevOps","AI/ML;App development;UI/UX design;DevOps;Web Development","8-15","Project 1: Student engagement dashboard - React, Node.js, MongoDB | Project 2: Resume screening assistant - Python, Flask, SQLite | Project 3: Library recommender - Spring Boot, MySQL | Project 4: Campus navigation app - Python, Flask, SQLite | Project 5: Portfolio website - Next.js, Express","NA","NA"
"2026/04/13 02:18:57 PM GMT+5:30","Riya Kale","riya.kale25936@spit.ac.in","riyakale7904@yahoo.com","1st year","B.Tech","Computer Engineering","2029","Psychology","NA","NA","Abhyudaya Mentoring","Machine Learning;React;C++;MongoDB;C;JavaScript;DevOps;Python;Java","CyberSecurity;DevOps;Competitive Programming;UI/UX design;AI/ML","1-3","Project 1: Community event app - Spring Boot, MySQL","-","Project planning"
"2026/04/06 06:40:39 AM GMT+5:30","Neha Deshpande","neha.deshpande25120@spit.ac.in","nehadeshpande2300@gmail.com","1st year","B.Tech","Computer Engineering","2029","Ethics","-","Banking Technology","Fire safety","DevOps;Machine Learning;MongoDB;Deep learning;Java;IOT;C++;Cybersecurity","DevOps;CyberSecurity;Web Development;UI/UX design","3-8","Project 1: Exam prep planner - React Native, Firebase | Project 2: Student engagement dashboard - Spring Boot, MySQL | Project 3: Portfolio website - React, Node.js, MongoDB","Working on communication and leadership along with tech skills.","N/A"
"2026/04/06 02:27:50 PM GMT+5:30","Kunal Jadhav","kunal.jadhav25679@spit.ac.in","kunaljadhav3485@gmail.com","1st year","B.Tech","Computer Engineering","2029","NA","NA","UI/UX","Theatre","IOT;Python;React;Java;Deep learning;C;JavaScript;MongoDB;C++","Blockchain;CyberSecurity;DevOps","3-8","Project 1: Campus navigation app - Next.js, Express | Project 2: Smart attendance tracker - Spring Boot, MySQL","Aiming for strong backend and system design skills.","Machine Learning"
"2026/04/16 06:08:21 AM GMT+5:30","Aditi Kadam","aditi.kadam25117@spit.ac.in","aditikadam1051@proton.me","1st year","B.Tech","Computer Engineering","2029","Ethics","NLP / DL","Banking Technology","Yoga","App / Web development;Machine Learning;JavaScript;SQL;C;Deep learning;IOT;MongoDB;Python","App development;Competitive Programming;UI/UX design;Data Science","1-3","Project 1: Campus navigation app - Python, Flask, SQLite","NA","Web Development"
"2026/04/07 06:46:32 PM GMT+5:30","Suraj Kadam","suraj.kadam24302@spit.ac.in","surajkadam7443@proton.me","2nd year","B.Tech","Computer Science and Engineering","2028","-","Software Testing","Financial Literacy","Theatre","MongoDB;React;SQL;IOT","App development;UI/UX design;Data Science;AI/ML","1-3","Project 1: Portfolio website - Spring Boot, MySQL | Project 2: Community event app - React Native, Firebase","NA","System design"
"2026/04/21 03:18:39 PM GMT+5:30","Vivaan Gupta","vivaan.gupta23980@spit.ac.in","vivaangupta9211@yahoo.com","3rd year","B.Tech","Computer Engineering","2027","Psychology","NA","Entrepreneurship","Yoga","JavaScript;React;C++;Deep learning;Machine Learning;Python;Java","Competitive Programming;Data Science;DevOps;Web Development;AI/ML","1-3","Project 1: Campus navigation app - Python, Flask, SQLite | Project 2: Resume screening assistant - Spring Boot, MySQL","Preparing for product-based company placements.","-"
"2026/04/08 08:27:00 PM GMT+5:30","Neha Kanase","neha.kanase23360@spit.ac.in","nehakanase110@outlook.com","3rd year","B.Tech","Computer Engineering","2027","Professional Communication","-","-","Theatre","React;Java;IOT;JavaScript;DevOps;C++","AI/ML;Blockchain;DevOps","1-3","Project 1: Community event app - React, Node.js, MongoDB","Planning to explore cybersecurity competitions this year.","Interview prep"
"2026/04/21 08:05:26 PM GMT+5:30","Ananya Salvi","ananya.salvi25441@spit.ac.in","ananyasalvi1826@yahoo.com","1st year","B.Tech","Computer Engineering","2029","NA","Data Analytics","-","N/A","Cybersecurity;Java;JavaScript;DevOps","App development;Web Development;Data Science;UI/UX design","3-8","Project 1: Doubt solving forum - Spring Boot, MySQL | Project 2: Hostel issue tracker - Django, PostgreSQL | Project 3: Library recommender - Spring Boot, MySQL","Looking for mentorship in career direction and project depth.","-"
"2026/04/20 09:54:34 PM GMT+5:30","Pranav Gupta","pranav.gupta25440@spit.ac.in","pranavgupta9404@proton.me","1st year","B.Tech","Computer Engineering","2029","N/A","NLP / DL","Banking Technology","NA","C++;MongoDB;IOT;Python;Cybersecurity","DevOps;App development;Data Science;AI/ML;UI/UX design","3-8","Project 1: Portfolio website - Spring Boot, MySQL | Project 2: Campus navigation app - Django, PostgreSQL","Interested in internships where I can work on real products.","Machine Learning"
"2026/04/10 03:55:08 AM GMT+5:30","Ishita Anand","ishita.anand25106@spit.ac.in","ishitaanand2409@yahoo.com","1st year","B.Tech","Computer Science and Engineering","2029","Sociology","NA","-","NA","Cybersecurity;Deep learning;SQL;App / Web development;IOT;React;Machine Learning","Competitive Programming;App development;Data Science","3-8","Project 1: Community event app - Python, Flask, SQLite | Project 2: Canteen preorder system - Django, PostgreSQL | Project 3: Smart attendance tracker - Python, Flask, SQLite","N/A","N/A"
"2026/04/16 02:32:56 PM GMT+5:30","Aditya Mishra","aditya.mishra23609@spit.ac.in","adityamishra8317@proton.me","3rd year","B.Tech","Computer Engineering","2027","Professional Communication","NA","UI/UX","Theatre","Machine Learning;Java;C;SQL;C++;React","App development;AI/ML;Web Development;Blockchain;Data Science","8-15","Project 1: Threat detection prototype - Django, PostgreSQL | Project 2: Resume screening assistant - Spring Boot, MySQL | Project 3: Portfolio website - Python, Flask, SQLite | Project 4: Canteen preorder system - React Native, Firebase | Project 5: Hostel issue tracker - Python, Flask, SQLite","-","NA"
"2026/04/13 08:47:07 PM GMT+5:30","Suraj Rane","suraj.rane24342@spit.ac.in","surajrane1345@outlook.com","2nd year","B.Tech","Computer Engineering","2028","Ethics","Software Testing","Banking Technology","AOL","App / Web development;Cybersecurity;React;Java;Machine Learning;C++","DevOps;UI/UX design;Web Development;AI/ML;Competitive Programming","1-3","Project 1: Exam prep planner - Python, Flask, SQLite","NA","NA"
"2026/04/19 08:55:16 PM GMT+5:30","Sarthak Patil","sarthak.patil25678@spit.ac.in","sarthakpatil5527@outlook.com","1st year","B.Tech","Computer Engineering","2029","NA","NA","Financial Literacy","Design Thinking","MongoDB;React;App / Web development","Data Science;Competitive Programming;CyberSecurity;AI/ML;Blockchain","3-8","Project 1: Threat detection prototype - Spring Boot, MySQL | Project 2: Canteen preorder system - React Native, Firebase","Focused on building impactful AI projects and research exposure.","Career guidance"
"2026/04/11 10:38:14 AM GMT+5:30","Riya Kulkarni","riya.kulkarni25821@spit.ac.in","riyakulkarni9916@outlook.com","1st year","B.Tech","Computer Engineering","2029","Psychology","NA","UI/UX","AOL","Java;JavaScript;SQL;Machine Learning;IOT;MongoDB;C++;DevOps;Python","Web Development;DevOps;Blockchain;Data Science","1-3","Project 1: Exam prep planner - React Native, Firebase | Project 2: Campus navigation app - Python, Flask, SQLite","NA","Project planning"
"2026/04/05 08:04:14 PM GMT+5:30","Ishita Pawar","ishita.pawar25460@spit.ac.in","ishitapawar96@gmail.com","1st year","B.Tech","Computer Engineering","2029","NA","Data Analytics","Financial Literacy","AOL","JavaScript;C++;C;Python","Competitive Programming;App development;Web Development;Data Science","3-8","Project 1: Threat detection prototype - React, Node.js, MongoDB | Project 2: Community event app - Django, PostgreSQL | Project 3: Resume screening assistant - Spring Boot, MySQL | Project 4: Library recommender - Spring Boot, MySQL","Planning to explore cybersecurity competitions this year.","N/A"
